month_date	gdp	tb	pi	ur	nyse	pce	ics
1959-01-01	260.1394751	2.82	2150.241635	6		1872.514835	
1959-02-01	260.1394751	2.7	2158.805897	5.9		1893.925491	
1959-03-01	260.1394751	2.8	2172.875757	5.6		1912.889215	
1959-04-01	266.0517957	2.95	2187.881749	5.2		1906.914244	
1959-05-01	266.0517957	2.84	2200.708527	5.1		1930.735402	
1959-06-01	266.0517957	3.21	2214.756902	5		1943.562179	
1959-07-01	266.2001825	3.2	2207.484028	5.1		1933.678126	
1959-08-01	266.2001825	3.38	2197.748707	5.2		1948.281107	
1959-09-01	266.2001825	4.04	2204.44174	5.5		1972.61941	
1959-10-01	266.9858779	4.05	2202.557731	5.7		1956.482211	
1959-11-01	266.9858779	4.15	2220.134554	5.8		1957.088308	
1959-12-01	266.9858779	4.49	2243.77235	5.3		1957.088308	
1960-01-01	272.9506218	4.35	2238.319449	5.2		1953.398527	
1960-02-01	272.9506218	3.96	2241.33768	4.8		1963.660509	
1960-03-01	272.9506218	3.31	2244.959556	5.4		1993.239165	
1960-04-01	271.5240561	3.23	2256.277473	5.2		2026.253989	
1960-05-01	271.5240561	3.29	2264.105498	5.1		1987.113868	
1960-06-01	271.5240561	2.46	2267.116276	5.4		1987.716023	
1960-07-01	272.8292829	2.3	2266.426643	5.5		1988.59886	
1960-08-01	272.8292829	2.3	2265.226523	5.6		1989.79898	
1960-09-01	272.8292829	2.48	2270.027003	5.5		2000.60006	
1960-10-01	269.3370827	2.3	2274.141438	6.1		2006.700969	
1960-11-01	269.3370827	2.37	2272.346536	6.1		2006.700969	
1960-12-01	269.3370827	2.25	2262.773723	6.6		1982.170635	
1961-01-01	271.1462687	2.24	2280	6.6		1983.283582	
1961-02-01	271.1462687	2.42	2291.343284	6.9		1992.238806	
1961-03-01	271.1462687	2.39	2299.701493	6.9		2016.119403	
1961-04-01	275.7281553	2.29	2297.933171	7		2010.840431	
1961-05-01	275.7281553	2.29	2318.184526	7.1		2024.539877	
1961-06-01	275.7281553	2.33	2342.605277	6.9		2030.496158	
1961-07-01	281.0598859	2.24	2349.691065	7		2023.526616	
1961-08-01	281.0598859	2.39	2352.06749	6.6		2032.438213	
1961-09-01	281.0598859	2.28	2356.820342	6.7		2046.102662	
1961-10-01	286.5442701	2.3	2373.704471	6.5		2052.117264	
1961-11-01	286.5442701	2.48	2396.209654	6.1		2072.253479	
1961-12-01	286.5442701	2.6	2411.015694	6		2087.05952	
1962-01-01	291.6568466	2.72	2397.478199	5.8		2081.074711	
1962-02-01	291.6568466	2.73	2414.565166	5.5		2085.788357	
1962-03-01	291.6568466	2.72	2434.008956	5.6		2105.821353	
1962-04-01	294.3290782	2.73	2443.673157	5.6		2111.888935	
1962-05-01	294.3290782	2.69	2446.614507	5.5		2129.537032	
1962-06-01	294.3290782	2.73	2448.379316	5.5		2120.124713	
1962-07-01	297.9160552	2.92	2452.597593	5.4		2121.514529	
1962-08-01	297.9160552	2.82	2458.46786	5.7		2130.31993	
1962-09-01	297.9160552	2.78	2471.382448	5.6		2164.954505	
1962-10-01	298.9162273	2.74	2475.688342	5.4		2147.041593	
1962-11-01	298.9162273	2.83	2484.475688	5.7		2177.504394	
1962-12-01	298.9162273	2.87	2495.020504	5.5		2188.635032	
1963-01-01	302.1755614	2.91	2508.019831	5.7		2183.727034	
1963-02-01	302.1755614	2.92	2495.771362	5.9		2177.89443	
1963-03-01	302.1755614	2.89	2504.520268	5.7		2187.226597	
1963-04-01	305.5778748	2.9	2510.043668	5.7		2191.557496	
1963-05-01	305.5778748	2.93	2524.017467	5.9		2196.215429	
1963-06-01	305.5778748	2.99	2542.066958	5.6		2222.416303	
1963-07-01	312.24561	3.18	2546.807768	5.6		2235.143621	
1963-08-01	312.24561	3.32	2560.181416	5.4		2246.191418	
1963-09-01	312.24561	3.38	2578.788231	5.5		2241.539714	
1963-10-01	314.3104343	3.45	2578.300744	5.5		2226.452097	
1963-11-01	314.3104343	3.52	2586.95276	5.7		2246.063333	
1963-12-01	314.3104343	3.52	2611.755206	5.5		2276.633789	
1964-01-01	320.9349126	3.52	2617.870285	5.6		2281.50874	
1964-02-01	320.9349126	3.53	2629.944802	5.4		2301.057958	
1964-03-01	320.9349126	3.54	2693.767249	5.4		2310.25759	
1964-04-01	324.4492887	3.47	2704.22212	5.3		2310.692978	
1964-05-01	324.4492887	3.48	2718.563561	5.1		2342.817806	
1964-06-01	324.4492887	3.48	2731.757687	5.2		2360.027536	
1964-07-01	329.4880585	3.46	2736.830077	4.9		2370.586219	
1964-08-01	329.4880585	3.5	2751.114158	5		2386.58439	
1964-09-01	329.4880585	3.53	2766.540967	5.1		2380.299394	
1964-10-01	330.5158978	3.57	2754.678346	5.1		2386.667425	
1964-11-01	330.5158978	3.64	2776.292589	4.8		2368.465958	
1964-12-01	330.5158978	3.84	2807.007565	5		2394.630567	
1965-01-01	338.5229202	3.81	2801.358234	4.9		2401.810979	
1965-02-01	338.5229202	3.93	2803.621958	5.1		2441.426146	
1965-03-01	338.5229202	3.93	2816.63837	4.7		2452.178834	
1965-04-01	342.7975889	3.93	2811.109233	4.8		2462.396485	
1965-05-01	342.7975889	3.89	2848.290237	4.6		2465.213227	
1965-06-01	342.7975889	3.8	2860.683905	4.6		2451.692862	
1965-07-01	350.423705	3.84	2881.75543	4.4		2474.886357	
1965-08-01	350.423705	3.84	2896.907795	4.4		2493.967114	
1965-09-01	350.423705	3.92	2973.79202	4.3		2536.618217	
1965-10-01	358.5163304	4.03	2940.028982	4.2		2555.456471	
1965-11-01	358.5163304	4.09	2965.66715	4.1		2558.80058	
1965-12-01	358.5163304	4.38	2989.075911	4		2573.291718	
1966-01-01	367.2149305	4.59	2975.023537	4	2953.646935	2576.286205	
1966-02-01	367.2149305	4.65	2999.94462	3.8	2905.022972	2603.976297	
1966-03-01	367.2149305	4.59	3019.327685	3.8	2832.419627	2630.558786	
1966-04-01	368.4866795	4.62	2993.683054	3.8	2862.839841	2619.609997	
1966-05-01	368.4866795	4.64	3001.922549	3.9	2700.796446	2598.736611	
1966-06-01	368.4866795	4.5	3022.246636	3.8	2666.520198	2611.919802	
1966-07-01	371.5793482	4.8	3009.085469	3.8	2605.298977	2614.656439	
1966-08-01	371.5793482	4.96	3036.287471	3.8	2395.952309	2628.80148	
1966-09-01	371.5793482	5.37	3064.033513	3.7	2375.822926	2661.443882	
1966-10-01	374.6533585	5.35	3056.379822	3.7	2462.152603	2634.475317	
1966-11-01	374.6533585	5.32	3075.263016	3.6	2486.700858	2644.186674	
1966-12-01	374.6533585	4.96	3079.039655	3.8	2494.092252	2653.358511	
1967-01-01	377.9819471	4.72	3098.001289	3.9	2687.19114	2655.276166	
1967-02-01	377.9819471	4.56	3107.672469	3.8	2701.966554	2648.828713	
1967-03-01	377.9819471	4.26	3132.387707	3.8	2813.292419	2663.87277	
1967-04-01	378.2006735	3.84	3120.756936	3.8	2913.187422	2679.74555	
1967-05-01	378.2006735	3.6	3133.051799	3.8	2779.226883	2684.556583	
1967-06-01	378.2006735	3.54	3154.968728	3.9	2841.396151	2709.146309	
1967-07-01	381.7642698	4.21	3147.834375	3.8	2947.739182	2682.939744	
1967-08-01	381.7642698	4.27	3169.014085	3.8	2915.228248	2699.354019	
1967-09-01	381.7642698	4.42	3178.015461	3.8	3007.095113	2730.064598	
1967-10-01	384.6355258	4.56	3156.682028	4	2886.520853	2682.237118	
1967-11-01	384.6355258	4.73	3186.531211	3.9	2893.695104	2709.467951	
1967-12-01	384.6355258	4.97	3197.004608	3.8	2980.624178	2749.790532	
1968-01-01	392.4953387	5	3194.012844	3.7	2829.086337	2749.637456	
1968-02-01	392.4953387	4.98	3229.749327	3.8	2725.554174	2763.621297	
1968-03-01	392.4953387	5.17	3271.182929	3.7	2740.936249	2819.03874	
1968-04-01	399.0466916	5.38	3258.162062	3.5	2953.000733	2788.170775	
1968-05-01	399.0466916	5.66	3283.788632	3.5	3007.739362	2817.897596	
1968-06-01	399.0466916	5.52	3308.90267	3.7	3039.15725	2851.212137	
1968-07-01	402.1367304	5.31	3280.211135	3.7	2939.806019	2858.447952	
1968-08-01	402.1367304	5.09	3297.974928	3.5	2975.23231	2877.734355	
1968-09-01	402.1367304	5.19	3309.648277	3.4	3096.482647	2883.824798	
1968-10-01	403.7185326	5.35	3289.625144	3.4	3078.274396	2860.717682	
1968-11-01	403.7185326	5.45	3313.14749	3.4	3242.330094	2886.24193	
1968-12-01	403.7185326	5.96	3331.665082	3.4	3116.910955	2885.240979	
1969-01-01	410.0411156	6.14	3304.601972	3.4	3057.858909	2890.474067	
1969-02-01	410.0411156	6.12	3313.518601	3.4	2890.771279	2916.233219	
1969-03-01	410.0411156	6.02	3335.314807	3.4	2977.757938	2917.223956	
1969-04-01	411.2844844	6.11	3303.169634	3.4	2999.266205	2905.008805	
1969-05-01	411.2844844	6.04	3354.040305	3.4	2993.054314	2936.313833	
1969-06-01	411.2844844	6.44	3394.149873	3.5	2799.647745	2939.248679	
1969-07-01	414.0321258	7	3385.268439	3.5	2582.847002	2907.240365	
1969-08-01	414.0321258	6.98	3415.657711	3.5	2700.159278	2941.970961	
1969-09-01	414.0321258	7.09	3437.364334	3.7	2636.438175	2957.889152	
1969-10-01	411.9820935	7	3413.182208	3.7	2741.880131	2945.518621	
1969-11-01	411.9820935	7.24	3433.660349	3.5	2643.20421	2955.043337	
1969-12-01	411.9820935	7.82	3456.043433	3.5	2594.818483	2965.996762	
1970-01-01	411.3834883	7.87	3438.057669	3.9	2360.664943	2952.474876	
1970-02-01	411.3834883	7.13	3462.947309	4.2	2487.742979	2977.364516	
1970-03-01	411.3834883	6.63	3484.549638	4.4	2476.331352	2969.381046	
1970-04-01	411.9772127	6.51	3491.26951	4.6	2194.942356	2945.671808	
1970-05-01	411.9772127	6.84	3488.027419	4.8	2046.083966	2975.313788	
1970-06-01	411.9772127	6.68	3504.237877	4.9	1938.35399	2993.37687	
1970-07-01	415.784638	6.45	3538.221242	5	2061.007052	2979.143697	
1970-08-01	415.784638	6.41	3558.434399	5.1	2152.839053	2999.356854	
1970-09-01	415.784638	6.12	3570.837927	5.4	2241.225629	3027.83903	
1970-10-01	411.3030468	5.91	3530.105187	5.5	2170.747184	2984.675372	
1970-11-01	411.3030468	5.28	3538.719623	5.9	2272.850871	2976.967719	
1970-12-01	411.3030468	4.87	3570.457018	6.1	2408.052208	3017.772942	
1971-01-01	422.4911795	4.44	3578.670001	5.9	2485.820088	3019.51677	
1971-02-01	422.4911795	3.7	3593.854674	5.9	2511.812706	3034.254835	
1971-03-01	422.4911795	3.38	3617.524898	6	2618.060926	3045.866643	
1971-04-01	424.7652634	3.86	3592.241569	5.9	2669.429129	3036.367644	
1971-05-01	424.7652634	4.14	3621.776504	5.9	2559.885484	3046.506502	
1971-06-01	424.7652634	4.75	3714.348689	5.9	2567.82019	3084.857836	
1971-07-01	428.2684587	5.4	3635.887589	6	2436.725537	3049.834177	
1971-08-01	428.2684587	4.94	3659.015535	6.1	2525.789832	3076.016757	
1971-09-01	428.2684587	4.69	3686.070868	6	2506.850982	3111.36324	
1971-10-01	429.2725148	4.46	3673.345739	5.8	2382.697914	3097.762583	
1971-11-01	429.2725148	4.22	3689.358203	6	2372.181655	3119.833817	
1971-12-01	429.2725148	4.01	3722.681439	6	2582.247773	3152.291513	
1972-01-01	437.1642936	3.38	3663.568932	5.8	2601.287501	3118.339159	
1972-02-01	437.1642936	3.2	3700.230199	5.7	2670.261808	3138.374968	
1972-03-01	437.1642936	3.73	3721.118595	5.8	2690.084312	3193.793162	
1972-04-01	447.0979495	3.71	3702.338587	5.7	2687.764714	3188.01898	
1972-05-01	447.0979495	3.69	3737.502118	5.7	2721.826902	3211.320115	
1972-06-01	447.0979495	3.91	3755.295713	5.7	2656.880211	3226.571767	
1972-07-01	451.3218632	3.98	3759.966429	5.6	2621.905111	3230.801511	
1972-08-01	451.3218632	4.02	3806.126731	5.6	2711.539962	3257.658414	
1972-09-01	451.3218632	4.66	3838.019303	5.5	2688.921611	3277.801091	
1972-10-01	458.8630148	4.74	3889.119085	5.6	2677.840474	3293.693544	
1972-11-01	458.8630148	4.78	3943.813707	5.3	2798.748703	3316.897323	
1972-12-01	458.8630148	5.07	3974.475843	5.2	2825.018555	3340.101102	
1973-01-01	470.2277568	5.41	3920.612813	4.9	2717.92561	3344.666557	
1973-02-01	470.2277568	5.6	3970.588235	5	2598.803797	3382.762576	
1973-03-01	470.2277568	6.09	4013.190234	4.9	2580.616009	3411.436998	
1973-04-01	475.3499818	6.26	3987.170694	5	2420.018461	3371.525396	
1973-05-01	475.3499818	6.36	4014.200992	4.9	2364.142494	3395.328196	
1973-06-01	475.3499818	7.19	4049.300036	4.9	2339.371384	3406.221003	
1973-07-01	472.8254848	8.01	3996.042738	4.8	2412.267578	3379.897111	
1973-08-01	472.8254848	8.67	4028.888009	4.8	2328.136157	3376.731302	
1973-09-01	472.8254848	8.29	4065.690542	4.8	2448.238951	3439.651761	
1973-10-01	477.3406278	7.22	4044.154736	4.6	2391.029333	3368.641602	
1973-11-01	477.3406278	7.83	4083.731036	4.8	2099.716653	3402.397858	
1973-12-01	477.3406278	7.45	4102.355178	4.9	2125.98453	3401.233849	
1974-01-01	473.2178218	7.77	4035.034273	5.1	2079.322273	3368.24067	
1974-02-01	473.2178218	7.12	4051.408987	5.2	2076.085274	3388.04265	
1974-03-01	473.2178218	7.96	4069.306931	5.1	2021.743995	3432.597106	
1974-04-01	474.360119	8.33	4000.372024	5.1	1885.416622	3388.392857	
1974-05-01	474.360119	8.23	4035.714286	5.1	1806.361563	3431.547619	
1974-06-01	474.360119	7.9	4061.755952	5.4	1766.220275	3452.380952	
1974-07-01	469.8568744	7.55	3990.530577	5.5	1587.899364	3389.836634	
1974-08-01	469.8568744	8.96	4026.673413	5.5	1440.761909	3450.918028	
1974-09-01	469.8568744	8.06	4064.261963	5.9	1278.335991	3452.002313	
1974-10-01	468.0429745	7.46	3989.186153	6	1446.738284	3367.741029	
1974-11-01	468.0429745	7.47	3997.612527	6.6	1378.414458	3357.208061	
1974-12-01	468.0429745	7.15	4029.91363	7.2	1341.303276	3376.869602	
1975-01-01	462.3399361	6.26	3962.374266	8.1	1485.014958	3349.239589	
1975-02-01	462.3399361	5.5	3986.062	8.1	1563.424779	3396.615057	
1975-03-01	462.3399361	5.49	4002.883724	8.6	1604.792444	3400.734663	
1975-04-01	465.6586158	5.61	4030.173872	8.8	1652.120946	3365.807456	
1975-05-01	465.6586158	5.23	4279.480414	9	1733.306353	3446.654489	
1975-06-01	465.6586158	5.34	4161.423449	8.8	1818.787575	3473.377985	
1975-07-01	473.6172052	6.13	4060.630235	8.6	1670.190104	3456.322298	
1975-08-01	473.6172052	6.44	4105.504587	8.4	1626.977766	3480.255285	
1975-09-01	473.6172052	6.42	4135.753224	8.4	1563.721556	3506.182688	
1975-10-01	479.9980384	5.96	4108.608232	8.4	1626.475267	3468.466996	
1975-11-01	479.9980384	5.48	4131.820708	8.3	1667.636535	3517.180502	
1975-12-01	479.9980384	5.44	4158.629483	8.2	1646.87616	3570.471115	
1976-01-01	490.7896865	4.87	4157.743198	7.9	1831.775002	3581.572903	
1976-02-01	490.7896865	4.88	4189.123613	7.7	1824.948999	3583.513959	
1976-03-01	490.7896865	5	4207.88716	7.6	1874.543049	3606.806638	
1976-04-01	494.3885722	4.86	4181.026199	7.7	1832.489959	3604.509641	
1976-05-01	494.3885722	5.2	4201.204279	7.4	1805.425668	3595.861892	
1976-06-01	494.3885722	5.41	4223.624367	7.6	1886.682461	3652.872974	
1976-07-01	497.1131348	5.23	4214.57029	7.8	1847.530475	3634.983874	
1976-08-01	497.1131348	5.14	4246.506039	7.8	1836.179163	3661.544299	
1976-09-01	497.1131348	5.08	4271.169291	7.6	1879.972168	3695.693417	
1976-10-01	500.7206759	4.92	4210.673459	7.7	1802.901389	3655.5666	
1976-11-01	500.7206759	4.75	4268.141153	7.8	1799.950304	3693.464215	
1976-12-01	500.7206759	4.35	4308.213221	7.8	1901.124534	3763.357356	
1977-01-01	506.6093975	4.62	4256.060652	7.5	1793.372275	3714.346856	
1977-02-01	506.6093975	4.67	4251.475039	7.6	1752.957638	3764.177188	
1977-03-01	506.6093975	4.6	4332.487542	7.4	1730.335392	3785.576717	
1977-04-01	516.4747377	4.54	4303.931026	7.2	1710.448616	3760.098879	
1977-05-01	516.4747377	4.96	4326.540456	7	1675.388912	3789.641867	
1977-06-01	516.4747377	5.02	4368.744724	7.2	1756.330595	3809.236706	
1977-07-01	525.7981892	5.19	4366.511794	6.9	1704.342387	3813.736002	
1977-08-01	525.7981892	5.49	4404.634263	7	1666.875098	3829.223255	
1977-09-01	525.7981892	5.81	4445.437217	6.8	1663.092757	3855.432452	
1977-10-01	525.8097432	6.16	4403.370164	6.8	1561.353891	3823.212151	
1977-11-01	525.8097432	6.1	4464.009796	6.8	1614.063774	3868.691875	
1977-12-01	525.8097432	6.07	4504.241859	6.4	1618.378458	3894.930177	
1978-01-01	527.4913793	6.44	4446.551724	6.4	1501.293138	3820.402299	83.7
1978-02-01	527.4913793	6.45	4493.678161	6.3	1471.523066	3893.965517	84.3
1978-03-01	527.4913793	6.29	4560.632184	6.3	1514.655103	3958.333333	78.8
1978-04-01	547.8640914	6.29	4524.460736	6.1	1606.992762	3937.403073	81.6
1978-05-01	547.8640914	6.41	4554.06739	6	1625.489863	3981.390103	82.9
1978-06-01	547.8640914	6.73	4583.956013	5.9	1599.859058	4020.301706	80
1978-07-01	553.3922977	7.01	4554.85624	6.2	1659.051196	3955.970832	82.4
1978-08-01	553.3922977	7.08	4597.277289	5.9	1710.649569	4011.977708	78.4
1978-09-01	553.3922977	7.85	4624.726204	6	1693.930773	4028.336152	80.4
1978-10-01	560.7998696	7.99	4580.231484	5.8	1484.37762	3985.491496	79.3
1978-11-01	560.7998696	8.64	4610.661305	5.9	1519.426153	4022.713688	75
1978-12-01	560.7998696	9.08	4655.219258	6	1540.401081	4065.913166	66.1
1979-01-01	561.8262355	9.35	4628.829117	5.9	1579.731081	4008.965738	72.1
1979-02-01	561.8262355	9.32	4672.590458	5.9	1521.613806	4050.058704	73.9
1979-03-01	561.8262355	9.48	4721.688547	5.8	1611.911669	4085.814922	68.4
1979-04-01	562.4133979	9.46	4618.950878	5.8	1579.699979	4006.876074	66
1979-05-01	562.4133979	9.61	4644.996614	5.6	1541.959733	4060.009376	68.1
1979-06-01	562.4133979	9.06	4671.04235	5.7	1607.7772	4104.026671	65.8
1979-07-01	566.6003976	9.24	4639.343427	5.7	1593.847217	4042.667074	60.4
1979-08-01	566.6003976	9.52	4681.398787	6	1681.704613	4117.856961	64.5
1979-09-01	566.6003976	10.26	4718.356528	5.9	1677.397117	4164.500178	66.7
1979-10-01	568.0196186	11.7	4667.434062	6	1526.975682	4107.902507	62.1
1979-11-01	568.0196186	11.79	4712.727091	5.9	1606.351016	4147.18983	63.3
1979-12-01	568.0196186	12.04	4762.023923	6	1639.157144	4169.711226	61
1980-01-01	569.7973089	12	4745.717017	6.3	1700.301439	4159.94706	67
1980-02-01	569.7973089	12.86	4771.45168	6.3	1683.194064	4169.995833	66.9
1980-03-01	569.7973089	15.2	4799.637264	6.3	1494.032051	4186.662092	56.5
